Zip Code,Index,Rank,County
96701,10.7,2,Honolulu
96704,39.8,4,Hawaii
96705,17,2,Kauai
96706,17.5,2,Honolulu
96707,11.7,2,Honolulu
96708,9.5,1,Maui
96710,30.9,3,Hawaii
96712,7.4,1,Honolulu
96713,6.5,1,Maui
96716,12.4,2,Kauai
96717,16,2,Honolulu
96718,31.3,3,Hawaii
96719,18,2,Hawaii
96720,39.4,4,Hawaii
96722,13.9,2,Kauai
96725,11.4,2,Hawaii
96726,98.2,5,Hawaii
96727,12.3,2,Hawaii
96728,30.7,3,Hawaii
96729,93.5,5,Maui
96730,13.1,2,Honolulu
96731,12.2,2,Honolulu
96732,21.7,3,Maui
96734,3.3,1,Honolulu
96738,12,2,Hawaii
96740,17.1,2,Hawaii
96741,5.5,1,Kauai
96742,4.1,1,Maui
96743,12.7,2,Hawaii
96744,4,1,Honolulu
96746,15.1,2,Kauai
96747,10.1,1,Kauai
96748,80.6,5,Maui
96749,48.1,4,Hawaii
96750,13.4,2,Hawaii
96752,24.5,3,Kauai
96753,13.4,2,Maui
96754,8.3,1,Kauai
96755,26.2,3,Hawaii
96756,16.5,2,Kauai
96757,89.7,5,Maui
96760,90.8,5,Hawaii
96761,18.6,2,Maui
96762,0.3,1,Honolulu
96763,45.5,4,Maui
96764,70,5,Hawaii
96766,19.6,2,Kauai
96768,17.4,2,Maui
96769,13.2,2,Kauai
96770,97.2,5,Maui
96771,96.7,5,Hawaii
96772,58.1,4,Hawaii
96773,73.3,5,Hawaii
96774,75.1,5,Hawaii
96776,19.4,2,Hawaii
96777,31,3,Hawaii
96778,88.5,5,Hawaii
96779,7.5,1,Maui
96780,73.7,5,Hawaii
96781,63.3,4,Hawaii
96782,17,2,Honolulu
96783,57,4,Hawaii
96785,78.9,5,Hawaii
96786,51.9,4,Honolulu
96789,6,1,Honolulu
96790,7.6,1,Maui
96791,15.7,2,Honolulu
96792,57.8,4,Honolulu
96793,18,2,Maui
96795,21.2,3,Honolulu
96796,15.9,2,Kauai
96797,25,3,Honolulu
96813,17.7,2,Honolulu
96814,27.3,3,Honolulu
96815,17.5,2,Honolulu
96816,6.8,1,Honolulu
96817,47.8,4,Honolulu
96818,22.7,3,Honolulu
96819,42.9,4,Honolulu
96821,0.3,1,Honolulu
96822,10.3,1,Honolulu
96825,1,1,Honolulu
96826,53.2,4,Honolulu
96853,23.3,3,Honolulu
96860,29.1,3,Honolulu
96861,11.3,2,Honolulu
